STATE,STATENAME,POP_ST,AREA_ST,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
18,Indiana,6483802,92789193658,4697100,72.44,6540696730,7.05,1860,3836584,59.17,5187412076,5.59,1915.5,860516,13.27,1353284654,1.46,1646.9,1786702,27.56,86248496928,92.95,53.7
19,Iowa,3046355,144669296857,1950256,64.02,2468980575,1.71,2045.8,1268964,41.66,1507132351,1.04,2180.7,681292,22.36,961848224,0.66,1834.5,1096099,35.98,142200316282,98.29,20
20,Kansas,2853118,211754095913,2116961,74.2,2519183616,1.19,2176.5,1431424,50.17,1623806507,0.77,2283.1,685537,24.03,895377109,0.42,1983,736157,25.8,209234912297,98.81,9.1
21,Kentucky,4339367,102269141641,2533343,58.38,3653655859,3.57,1795.8,1778528,40.99,2207361288,2.16,2086.8,754815,17.39,1446294571,1.41,1351.7,1806024,41.62,98615485782,96.43,47.4
22,Louisiana,4533372,111897594452,3317805,73.19,5097451640,4.56,1685.8,2780406,61.33,4010132099,3.58,1795.8,537399,11.85,1087319541,0.97,1280.1,1215567,26.81,106800142812,95.44,29.5
23,Maine,1328361,79882800680,513542,38.66,931423305,1.17,1428,348137,26.21,616415489,0.77,1462.8,165405,12.45,315007816,0.39,1360,814819,61.34,78951377375,98.83,26.7
24,Maryland,5773552,25141638381,5034331,87.2,5191942757,20.65,2511.4,4822869,83.53,4767985793,18.96,2619.8,211462,3.66,423956964,1.69,1291.8,739221,12.8,19949695624,79.35,96
25,Massachusetts,6547629,20202057805,6021989,91.97,7735338848,38.29,2016.3,5912700,90.3,7498364724,37.12,2042.3,109289,1.67,236974124,1.17,1194.5,525640,8.03,12466718957,61.71,109.2
26,Michigan,9883640,146435075220,7369957,74.57,9384151623,6.41,2034.1,6560163,66.37,7875668905,5.38,2157.4,809794,8.19,1508482718,1.03,1390.4,2513683,25.43,137050923597,93.59,47.5
27,Minnesota,5303925,206232309199,3886311,73.27,4416575848,2.14,2279,3076032,58,3182448693,1.54,2503.4,810279,15.28,1234127155,0.6,1700.5,1417614,26.73,201815733351,97.86,18.2
28,Mississippi,2967297,121530715928,1464224,49.35,2864191371,2.36,1324,819522,27.62,1581129734,1.3,1342.4,644702,21.73,1283061637,1.06,1301.4,1503073,50.65,118666524557,97.64,32.8
29,Missouri,5988927,178039716301,4218371,70.44,5320506862,2.99,2053.5,3390061,56.61,3899820503,2.19,2251.4,828310,13.83,1420686359,0.8,1510.1,1770556,29.56,172719209439,97.01,26.6
30,Montana,989415,376961878670,553014,55.89,769702271,0.2,1860.8,262137,26.49,334839591,0.09,2027.6,290877,29.4,434862680,0.12,1732.4,436401,44.11,376192176399,99.8,3
31,Nebraska,1826341,198973681461,1335686,73.13,1357102386,0.68,2549.1,982197,53.78,944821650,0.47,2692.4,353489,19.36,412280736,0.21,2220.7,490655,26.87,197616579075,99.32,6.4
32,Nevada,2700551,284331937541,2543797,94.2,1987575459,0.7,3314.8,2336222,86.51,1565145978,0.55,3866,207575,7.69,422429481,0.15,1272.7,156754,5.8,282344362082,99.3,1.4
33,New Hampshire,1316470,23187259277,793872,60.3,1668054122,7.19,1232.6,623168,47.34,1344142228,5.8,1200.8,170704,12.97,323911894,1.4,1364.9,522598,39.7,21519205155,92.81,62.9
34,New Jersey,8791894,19047341691,8324126,94.68,7561624746,39.7,2851.2,8109908,92.24,7178066812,37.69,2926.2,214218,2.44,383557934,2.01,1446.5,467768,5.32,11485716945,60.3,105.5
35,New Mexico,2059179,314160748240,1594361,77.43,2141181968,0.68,1928.5,1106721,53.75,1267853668,0.4,2260.8,487640,23.68,873328300,0.28,1446.2,464818,22.57,312019566272,99.32,3.9
36,New York,19378102,122056806947,17028105,87.87,10597911232,8.68,4161.4,16018144,82.66,9059207000,7.42,4579.5,1009961,5.21,1538704232,1.26,1700,2349997,12.13,111458895715,91.32,54.6
37,North Carolina,9535483,125919791207,6301756,66.09,11937724456,9.48,1367.2,5232799,54.88,9285141220,7.37,1459.6,1068957,11.21,2652583236,2.11,1043.7,3233727,33.91,113982066751,90.52,73.5
38,North Dakota,672591,178711239147,402872,59.9,475973352,0.27,2192.2,269056,40,290454982,0.16,2399.2,133816,19.9,185518370,0.1,1868.2,269719,40.1,178235265795,99.73,3.9
